id,season_id,player_id,correct_scores,points,created_at
01a33480-4a6c-4104-8135-e0919a90f738,27404307-72b4-4518-a32c-ce15384915d9,f9aa08c8-da66-4064-a39a-3225dadaa1d0,15,185,2026-04-14 00:51:56.425431+00
0b13c520-39dd-4067-be9a-6d8a128e3dbd,27404307-72b4-4518-a32c-ce15384915d9,6a57188f-50ad-4d66-88e5-64236a293c32,25,207,2026-04-14 00:51:56.425431+00
14847af9-38b4-4894-aa9e-2207408ac629,27404307-72b4-4518-a32c-ce15384915d9,30bc182e-979b-4f58-b596-67c45a4d2faf,2,7,2026-04-14 00:51:56.425431+00
1911222b-f2a9-487d-9a05-c4832befca61,27404307-72b4-4518-a32c-ce15384915d9,e04c559e-ca37-400e-b70d-64cc03eb3361,21,188,2026-04-14 00:51:56.425431+00
1a8815f6-4c93-41c4-a836-801570b42e7d,27404307-72b4-4518-a32c-ce15384915d9,eff7bddc-a865-47c4-95fb-fe4116d8c288,28,207,2026-04-14 00:51:56.425431+00
1d910313-553b-4987-a796-92e16cf9bff6,27404307-72b4-4518-a32c-ce15384915d9,49f48e02-6af0-4107-8f27-29f67efc4c3a,27,218,2026-04-14 00:51:56.425431+00
23aaf54b-9b6d-45eb-b46a-62c4b2dcf488,27404307-72b4-4518-a32c-ce15384915d9,6bf245f8-9743-4b7b-ab78-dc0cdd591c6c,32,221,2026-04-14 00:51:56.425431+00
2775ddbf-89b3-4b4f-aa3c-0424743c6d4b,27404307-72b4-4518-a32c-ce15384915d9,857f0ddb-bbf7-490f-89e7-c393913d1937,21,196,2026-04-14 00:51:56.425431+00
360d9178-4654-4e29-94bf-3ed11b8c9bff,27404307-72b4-4518-a32c-ce15384915d9,584d969b-f2c5-4e89-a226-9d5d47bebe23,20,191,2026-04-14 00:51:56.425431+00
3ac56677-de54-47c3-8b86-1e87e40e1a9a,27404307-72b4-4518-a32c-ce15384915d9,a98cac4a-9401-4a97-b8e6-93a7caee47e9,39,243,2026-04-14 00:51:56.425431+00
41909dfe-f3ab-49b3-b388-6751695c22f0,27404307-72b4-4518-a32c-ce15384915d9,c2011527-da58-4568-97f9-ec5c223ead8e,24,189,2026-04-14 00:51:56.425431+00
594d311c-85a0-4f6a-85ce-6edb3006a2fe,27404307-72b4-4518-a32c-ce15384915d9,f9410110-ec63-4a83-ad54-2b5df48b9140,23,202,2026-04-14 00:51:56.425431+00
604bc3c2-3464-41d5-8bc5-f44c32d534b1,27404307-72b4-4518-a32c-ce15384915d9,9a205562-9e06-49d8-865b-a0dfb3de0b20,24,204,2026-04-14 00:51:56.425431+00
65e8ba66-8c31-4f69-aad3-2b8be563cff0,27404307-72b4-4518-a32c-ce15384915d9,71913bf1-3c89-4850-a771-b807bac56136,26,200,2026-04-14 00:51:56.425431+00
67517fea-38dc-4985-bedd-2ca1a9974b3d,27404307-72b4-4518-a32c-ce15384915d9,25472e3e-4928-440c-84a8-ed85a6e4cf34,22,156,2026-04-14 00:51:56.425431+00
6a2307c8-6f4e-4a02-ae7e-8d2587f30f22,27404307-72b4-4518-a32c-ce15384915d9,4f4c26c5-21c6-4a45-b9ab-141ea2936063,25,195,2026-04-14 00:51:56.425431+00
6a46ac1f-380c-4d80-b2fb-b0ec30d27404,27404307-72b4-4518-a32c-ce15384915d9,66022633-1ced-4920-a431-b74b54e98345,23,177,2026-04-14 00:51:56.425431+00
6ab7680b-028b-4fd0-9d13-04d3c4469d65,27404307-72b4-4518-a32c-ce15384915d9,c8b7ea0d-f644-44ff-b89b-a0e352ff3cec,32,228,2026-04-14 00:51:56.425431+00
6d9c7be3-cc2b-4196-a55c-384e26c5a218,27404307-72b4-4518-a32c-ce15384915d9,8ed10184-c01b-4913-be71-bf7b48b8163a,22,180,2026-04-14 00:51:56.425431+00
6dad8bdf-da80-462f-8a66-537c8040c8c8,27404307-72b4-4518-a32c-ce15384915d9,6e5a68ef-c26c-4776-8f8c-7f3c22bc3f06,28,215,2026-04-14 00:51:56.425431+00
76a51792-9785-4dd1-bbdd-f1c640d56420,27404307-72b4-4518-a32c-ce15384915d9,95f43b8d-de0d-4dd2-a9bb-0cdfe02e247a,27,213,2026-04-14 00:51:56.425431+00
7c291379-3f18-47be-aef6-200481c064a7,27404307-72b4-4518-a32c-ce15384915d9,b782ca87-97a5-4e94-96b3-fda9d7a93d5d,33,225,2026-04-14 00:51:56.425431+00
842f61fd-0e6f-4b51-a833-abe91c590971,27404307-72b4-4518-a32c-ce15384915d9,abe5e91c-2516-47f8-98a7-2b1e70ab13b1,32,208,2026-04-14 00:51:56.425431+00
93cb88f4-0ea5-49ab-8702-795ddb9ae4c4,27404307-72b4-4518-a32c-ce15384915d9,3d18f1c8-de23-4c6d-b843-8241da5d994e,39,231,2026-04-14 00:51:56.425431+00
994c799e-8e17-4399-b8bd-dd9044deadbf,27404307-72b4-4518-a32c-ce15384915d9,78c6e1c2-6f06-4cf7-8a82-54f62c0e9504,26,214,2026-04-14 00:51:56.425431+00
c7783fe8-bb31-42a5-b9c6-b2fb9b6dacef,27404307-72b4-4518-a32c-ce15384915d9,7151cae2-f54e-4f88-9e6a-8ab7fe755160,24,203,2026-04-14 00:51:56.425431+00
d120b3ae-ccb6-418b-8aa4-f9b11d739a1c,27404307-72b4-4518-a32c-ce15384915d9,c4d0c372-0a8c-445d-9994-fe871e8eb544,29,202,2026-04-14 00:51:56.425431+00
dd27df2e-fdd7-438d-b629-52835d8d37a3,27404307-72b4-4518-a32c-ce15384915d9,e2ffaf02-f17f-4be3-b3ee-651d39315af1,26,206,2026-04-14 00:51:56.425431+00
df09bf66-301d-4d12-a42d-f519383406be,27404307-72b4-4518-a32c-ce15384915d9,eb3628cb-9a74-4281-bc9f-ebff66ae268e,27,170,2026-04-14 00:51:56.425431+00
e143be5f-1e44-4700-a7d4-ea1b325d5460,27404307-72b4-4518-a32c-ce15384915d9,182f8371-048a-4f6e-b95d-149f368c3c44,24,171,2026-04-14 00:51:56.425431+00
e67622f4-b44b-4564-b359-fd7b948c2166,27404307-72b4-4518-a32c-ce15384915d9,f3b179ce-265d-4bf0-8c6c-a641504ea802,26,188,2026-04-14 00:51:56.425431+00
e83b2d14-10a9-4eb5-9772-f095ae940ca8,27404307-72b4-4518-a32c-ce15384915d9,e28417e9-f154-4f39-bf0d-86cb6a1abc32,17,187,2026-04-14 00:51:56.425431+00
f1f9fe44-37bd-457b-b102-7c4e3c08c3d8,27404307-72b4-4518-a32c-ce15384915d9,ceb258ce-454a-4b5f-9321-73fd28390495,29,202,2026-04-14 00:51:56.425431+00
fb923793-a14e-429e-af3e-5faa1167a5ba,27404307-72b4-4518-a32c-ce15384915d9,298651b6-b5d4-4875-a636-799edae79a84,22,162,2026-04-14 00:51:56.425431+00
ff7cbb78-5fc2-4530-8c43-a25264c1e2d4,27404307-72b4-4518-a32c-ce15384915d9,46a30c5e-11ff-4c44-aa31-29a606850f82,22,182,2026-04-14 00:51:56.425431+00
