id,season_id,week_number,predictions_open,predictions_close,live_start,live_end,created_at
00c76044-16a0-4acf-a0a5-8de00e9cbc06,27404307-72b4-4518-a32c-ce15384915d9,15,2025-12-08 02:20:00+00,2025-12-12 23:59:00+00,2025-12-13 14:00:00+00,2025-12-15 23:00:00+00,2025-12-09 02:25:53.421211+00
284571ab-f355-476f-841c-8d84cf3fc188,27404307-72b4-4518-a32c-ce15384915d9,4,2025-08-31 13:33:00+00,2025-09-11 22:59:00+00,2025-09-12 01:34:00+00,2025-09-14 19:34:00+00,2025-09-01 12:37:34.330303+00
28c25bca-56fb-487b-b335-f02e00863c6b,27404307-72b4-4518-a32c-ce15384915d9,2,2025-08-18 01:00:00+00,2025-08-21 22:59:00+00,2025-08-22 01:00:00+00,2025-08-25 23:30:00+00,2025-08-18 23:36:48.84523+00
28da2862-f00a-44dd-8ab5-a48849d53245,27404307-72b4-4518-a32c-ce15384915d9,10,2025-10-26 04:12:00+00,2025-10-30 23:59:00+00,2025-10-31 02:12:00+00,2025-11-03 23:15:00+00,2025-10-27 02:20:06.70735+00
3715512f-bc25-48aa-a319-f9b2ffc2fb15,27404307-72b4-4518-a32c-ce15384915d9,9,2025-10-20 01:19:00+00,2025-10-23 22:59:00+00,2025-10-24 00:19:00+00,2025-10-26 19:30:00+00,2025-10-21 00:26:03.06056+00
37bc4415-6386-4c1c-9a8b-453802fa72e1,27404307-72b4-4518-a32c-ce15384915d9,17,2025-12-17 16:42:00+00,2025-12-25 23:59:00+00,2025-12-26 18:42:00+00,2025-12-28 20:43:00+00,2025-12-18 14:46:26.464863+00
39344544-7804-4c1d-a17b-a1aff7a7f869,27404307-72b4-4518-a32c-ce15384915d9,11,2025-11-03 02:45:00+00,2025-11-07 23:59:00+00,2025-11-08 07:45:00+00,2025-11-09 22:47:00+00,2025-11-04 02:49:14.346337+00
3d3498a4-2cb9-46cc-a1c2-2cb731ca4d02,27404307-72b4-4518-a32c-ce15384915d9,23,2026-02-02 01:55:00+00,2026-02-05 23:59:00+00,2026-02-06 19:56:00+00,2026-02-08 19:56:00+00,2026-02-03 02:00:20.599572+00
3fbb2bf0-cef3-48b2-9d04-ecba8bd4165b,27404307-72b4-4518-a32c-ce15384915d9,6,2025-09-21 13:32:00+00,2025-09-25 22:59:00+00,2025-09-26 21:00:00+00,2025-09-29 23:33:00+00,2025-09-22 12:36:14.776633+00
435af285-efb9-47f0-a3b5-aa47b7b78b56,27404307-72b4-4518-a32c-ce15384915d9,12,2025-11-10 01:51:00+00,2025-11-20 23:59:00+00,2025-11-21 19:52:00+00,2025-11-24 23:52:00+00,2025-11-10 19:56:44.155032+00
6321df99-8fc5-4465-a345-4e85e454e8cc,27404307-72b4-4518-a32c-ce15384915d9,5,2025-09-15 01:59:00+00,2025-09-19 22:59:00+00,2025-09-20 01:26:00+00,2025-09-21 23:26:00+00,2025-09-15 00:29:47.598886+00
634bef0a-8a4f-4bb4-a7cc-79a5ec61e5cb,27404307-72b4-4518-a32c-ce15384915d9,16,2025-12-15 03:55:00+00,2025-12-18 23:59:00+00,2025-12-19 17:00:00+00,2025-12-22 23:00:00+00,2025-12-16 02:00:34.038291+00
7577e1cd-1ba9-4266-acbc-d2d0027002a7,27404307-72b4-4518-a32c-ce15384915d9,22,2026-01-26 00:57:00+00,2026-01-29 23:59:00+00,2026-01-30 18:57:00+00,2026-02-02 22:58:00+00,2026-01-27 01:02:17.032587+00
7be0759a-59c6-4da1-be13-e876a9051907,27404307-72b4-4518-a32c-ce15384915d9,8,2025-10-05 23:00:00+00,2025-10-17 22:59:00+00,2025-10-18 12:00:00+00,2025-10-20 23:00:00+00,2025-10-06 00:06:45.719059+00
7d6130ac-980a-4352-8ec0-29a06643525e,27404307-72b4-4518-a32c-ce15384915d9,19,2026-01-04 01:23:00+00,2026-01-08 23:59:00+00,2026-01-09 19:23:00+00,2026-01-11 23:23:00+00,2026-01-05 01:34:54.545282+00
7f04d06c-ca42-403e-8bc7-194f0a0c631a,27404307-72b4-4518-a32c-ce15384915d9,13,2025-11-24 01:30:00+00,2025-11-28 23:59:00+00,2025-11-29 10:31:00+00,2025-11-30 19:26:00+00,2025-11-25 02:35:34.549415+00
976d2b52-ae86-4db2-a398-bb57fbbaeb87,27404307-72b4-4518-a32c-ce15384915d9,20,2026-01-11 01:15:00+00,2026-01-15 23:59:00+00,2026-01-16 19:15:00+00,2026-01-19 23:15:00+00,2026-01-12 01:19:16.864628+00
b0768a69-dec7-4af7-b170-19230fdc82ab,27404307-72b4-4518-a32c-ce15384915d9,21,2026-01-19 01:42:00+00,2026-01-23 23:59:00+00,2026-01-24 11:42:00+00,2026-01-26 23:42:00+00,2026-01-20 01:48:38.899016+00
b8e9c830-4504-4e15-9aba-2cf1e3b2de9d,27404307-72b4-4518-a32c-ce15384915d9,18,2025-12-28 01:15:00+00,2026-01-02 23:59:00+00,2026-01-03 11:15:00+00,2026-01-04 23:16:00+00,2025-12-29 01:19:48.069015+00
d77ab4fc-0b5e-46dc-8403-2c02eb802dd6,27404307-72b4-4518-a32c-ce15384915d9,7,2025-09-29 01:35:00+00,2025-10-02 22:59:00+00,2025-10-03 10:30:00+00,2025-10-05 20:00:00+00,2025-09-30 00:40:13.853434+00
d7a991ce-94f4-44a6-9e3a-bda9babd7e11,27404307-72b4-4518-a32c-ce15384915d9,14,2025-11-30 01:30:00+00,2025-12-04 23:59:00+00,2025-12-05 01:30:00+00,2025-12-08 23:30:00+00,2025-12-01 00:34:45.195796+00
d8d2e264-f062-4c84-bc77-cf67da4c3bf5,27404307-72b4-4518-a32c-ce15384915d9,3,2025-08-25 23:30:00+00,2025-08-29 22:59:00+00,2025-08-30 12:30:00+00,2025-08-31 22:30:00+00,2025-08-26 00:42:01.817133+00
e1083685-268d-4376-bbc8-14fe74194d46,27404307-72b4-4518-a32c-ce15384915d9,1,2025-08-06 15:03:00+00,2025-08-13 22:59:00+00,2025-08-14 08:00:00+00,2025-08-18 23:00:00+00,2025-08-07 14:07:51.727724+00
ef99d1e9-75a3-4c2a-9ab3-48604f86b4fa,27404307-72b4-4518-a32c-ce15384915d9,24,2026-02-07 20:34:00+00,2026-02-12 23:59:00+00,2026-02-13 18:34:00+00,2026-02-16 23:40:00+00,2026-02-08 20:38:47.395874+00
